number,question,optionA,optionB,optionC,optionD,optionE,optionF,answer,explanation
QUESTION NO: 247,"Service agents at Ursa Major Solar want a more condensed case view. Service agents also
want to be able to modify the associated contact and account records from the case page
layout on the Lightning record page.
Which two components should an app builder use to meet these requirements?
Choose 2 answers",A. Path,B. Rich text,C. Related record,,,,"C,D","Related record and Tabs. These are correct because the related record component allows
service agents to view and edit fields from a related record on the same page, and the tabs
component allows service agents to switch between different views of related lists or other
components on the same page."
QUESTION NO: 248,"The CFO of Cloud Kicks needs to sign off on any major show retail deal that has a discount
of more than 30% before the deal can be closed.
What feature would be used to handle this requirement?",A. Approval Process,B. Email Alert,C. Field Update,,,,A,"Approval Process is the feature that would be used to handle the requirement of signing off
on major show retail deals with more than 30% discount. According to the Salesforce
documentation, ""An approval process automates how Salesforce records are approved in
your org."" Email Alert, Field Update, and Workflow Rule are actions that can be triggered by
an approval process, but they are not features for handling approvals."
QUESTION NO: 249,"Ursa Major Solar (UMS) uses a public sharing model for accounts. UMS would like to move
to a more restrictive sharing model but wants the Sales team to continue to have access to
all account records with the sales record type.
Which two actions should an app builder complete to implement this change?
Choose 2 answers",A. Update the Sales profile.,B. Update the organization-wide defaults,C. Create a criteria-based sharing rule.,,,,"B,C","Update the organization-wide defaults and create a criteria based sharing rule are two
actions that an app builder should complete to implement the change of moving to a more
restrictive sharing model while allowing the Sales team to access all account records with the
sales record type. Updating the organization-wide defaults can set the baseline level of
access for accounts, and creating a criteria based sharing rule can grant additional access
based on record type. Updating the Sales profile and creating an owner-based sharing rule
are not necessary or sufficient actions for this change."
QUESTION NO: 250,"Cloud Kicks (CK) keeps track of its shoe inventory in Salesforce. When an order's status is
changed to Activated, the inventory for the ordered shoe is reduced. At that point, a SOAP
web service on the CK website must be called so that the website is updated to display the
correct inventory amount for the shoe.
What should an app builder use to communicate to the CK web service when a shoe's
inventory has changed?",A. After-Save Record-Triggered flow,B. Before-Save Record-Triggered flow,C. Process Builder,,,,A,"To communicate to the CK web service when a shoe's inventory has changed, an app builder
should use an after-save record-triggered flow. An after-save record-triggered flow is a type
of flow that runs after a record is saved and can perform actions such as updating related
records, sending emails, calling external services, etc. An after-save record-triggered flow
can use an Apex action to invoke a SOAP web service using a WSDL file. [Source]"
QUESTION NO: 251,"Northern Trail Outfitters (NTO) has created the custom objects Trail and Park in Salesforce to
track trails and parks respectively. NTO wants to track the total number of trails a park has on
the park record without writing any code.
Which two actions should an app builder take to accomplish this requirement?
Choose 2 answers",A. Use a formula field on the Park record to show the total number of trails.,B. Use a roll-up summary field on the Park record to show the total number of Trails.,C. Use a master-detail relationship between the Park and Trail objects.,,,,"B,C","To track the total number of trails associated with a park without writing code, the correct
actions to take are:
Use a roll-up summary field on the Park record to show the total number of Trails (B). Roll-up
summary fields calculate and display a value in a master record based on the values of fields
in a detail record. They are used to count, sum, average, or get the minimum/maximum of
values in related detail records.
Use a master-detail relationship between the Park and Trail objects (C). Master-detail
relationships are necessary for roll-up summary fields as they allow the master object to
control certain behaviors of the detail object and summarize data from those detail records.
A formula field (A) cannot dynamically count related records unless those records are linked
via a master-detail relationship, and it cannot alone handle counts across related records
without such a relationship. A lookup relationship (D) does not support roll-up summaries
unless combined with additional tools like triggers or third-party apps, which involve coding or
extra configuration outside standard object setup.
For more details, refer to the Salesforce Help documentation on master-detail relationships
and roll-up summary fields:
Master-Detail Relationship:
https://help.salesforce.com/articleView?id=relationships_considerations.htm&type=5 Roll-Up
Summary Fields:
https://help.salesforce.com/articleView?id=fields_about_roll_up_summary_fields.htm&type=5"
QUESTION NO: 252,"Universal Containers uses a custom object called Reviews to capture information generated
by interviewers during the candidate process. The Review records are visible to any user that
has access to the related custom Candidate record. The VP of Human Resources wants the
comment field on the Review to be private to anyone outside of the MR department How
should the app builder meet this requirement?",A. Create a page layout with the field and use field-level security to hide the field from all other users.,"B. Create an Apex sharing rule to share the field with users that have ""MR'' in their role.",C. Create a sharing rule to share the field with the VP of HR with Role and Subordinates.,,,,A,"Create a page layout with the field and use field-level security to hide the field from all other
users is how the app builder should meet the requirement of making the comment field on
Review private to anyone outside of HR department. Field-level security can control which
profiles can view or edit a field on a record. Create an Apex sharing rule, create a sharing
rule to share the field with VP of HR with Role and Subordinates, and create a page layout
with the field for HR users and another page layout without the field for all other users are not
valid or feasible solutions for this requirement."
QUESTION NO: 253,"An App Builder wants to deploy a new version of an auto launched flow to production in an
active state so that the new functionality Is immediately available to users What should the
App Builder rake into consideration when planning the deployment?",A. Verify there is an Apex test that provides test coverage for the Flow.,B. Grant user access to the Flow.,C. Manually activate the Flow after deployment,,,,A,"The app builder should verify that there is an Apex test that provides test coverage for the
Flow. An Apex test is a unit test that verifies the functionality and quality of Apex code. Apex
tests are required to deploy any change that contains Apex code or references Apex code,
such as an auto launched flow3. The app builder should ensure that there is an Apex test
that covers at least 75% of the Flow logic before deploying it to production in an active state4.
Option B, C, and D are not things that the app builder should take into consideration when
planning the deployment."
QUESTION NO: 254,"A new custom object is being created with a private sharing setting. The business wants to
share individual records with specific people or group of people on a case-by-case basis.
What options does the business user have to manually share individual records? Choose 3
answers",A. Public Groups,B. Permission Sets,C. Roles,D. Profiles,,,"A,C,E","To manually share individual records with specific people or group of people on a case by
case basis, users can use public groups, roles, or users. Public groups are collections of
users, roles, or other groups that can be used to share access to records. Roles define the
level of access that users have to their organization's data based on their position in the
hierarchy. Users are individual people who log in to Salesforce and have access to records
based on their profile, role, and sharing settings."
QUESTION NO: 255,"Universal Containers wants sales reps to get permission from their managers before deleting
Opportunities, What can be used to meet these requirements?",A. Process Builder with Submit for Approval action.,B. Approval Process with a triggered Flow process.,C. Approval Process with Time-Dependent Workflow action.,,,,D,"The feature that can be used to meet these requirements is two-step approval process. An
approval process defines the steps and criteria for approving records. A two-step approval
process requires two levels of approval before a record can be deleted. The app builder can
configure an approval process for opportunities that requires sales reps to submit their delete
requests for approval from their managers. Option A is incorrect because Process Builder
with Submit for Approval action is not a valid feature, as Process Builder cannot submit
records for approval. Option B is incorrect because Approval Process with a triggered Flow
process is not a valid feature, as Approval Process cannot trigger Flow processes. Option C
is incorrect because Approval Process with Time-Dependent Workflow action is not a valid
feature, as Approval Process cannot use Time-Dependent Workflow actions."
QUESTION NO: 256,"Cloud Kicks wants to summarize the number of open Cases related to an Account, as well as
the number of closed Cases to indicate whether customer support utilization is high, medium,
or low. Two number fields have been created: NUM_Open_Cases__c and
NUM_Closed_Cases_c Which two automation solutions would meet these business
requirements?
Choose 2 answers",A. AppExchange,B. Validation Rule,C. Approval Process,,,,"A,D","To meet the requirement of summarizing the number of open and closed cases on an
Account, two potential automation solutions can be used:
Option A (AppExchange): Salesforce AppExchange offers various pre-built apps and
components, including those for case management, which could provide the functionality to
summarize cases and categorize customer support utilization. Many apps can handle
complex business requirements like case summary roll-ups and could meet the needs
without custom development.
Reference:
Option D (Apex): Apex is Salesforce's programming language that allows developers to
implement custom logic. In this scenario, Apex could be used to create a trigger or scheduled
job that calculates the number of open and closed cases and updates the Account record
accordingly. Apex would allow full customization of how the open/closed case numbers are
calculated and how customer support utilization (high, medium, low) is determined.
Option B (Validation Rule): Validation Rules enforce data quality by ensuring that certain
conditions are met before saving a record. They are not suitable for summarizing data or
performing calculations across related records, so this option is not appropriate.
Option C (Approval Process): Approval Processes are used for managing approval
workflows, which is unrelated to the case summarization requirement. Therefore, it is not a
relevant option here.
In summary, using AppExchange for a pre-built solution or Apex for a custom automation are
the best approaches for summarizing open and closed cases on the Account object.
Reference:
Apex Programming Guide
Salesforce AppExchange"
QUESTION NO: 257,"At Ursa Major Solar there is a requirement for a new field called Planet Details on the Planet
object where users can write detailed descriptions that can include pictures and links.
What field type should the app builder utilize to fulfill this requirement?",A. Long Text Area,B. Rich Text Area,C. Multi-Select Picklist,,,,B,"Ursa Major Solar requires a new field called Planet Details on the Planet object, where users
can write detailed descriptions that can include pictures and links. The Rich Text Area field
type is the best fit for this requirement.
Option B (Rich Text Area): A Rich Text Area field allows users to enter text with formatting
options such as bold, italics, bullets, and numbering. Additionally, it supports inserting images
and hyperlinks, which matches the requirement of including pictures and links in the
description.
Reference:
Option A (Long Text Area): A Long Text Area field allows for lengthy text input but does not
support formatting or embedding of images and links, which are necessary in this case.
Option C (Multi-Select Picklist): A Multi-Select Picklist allows users to select multiple values
from a list but is not suitable for detailed descriptions or embedding images and links.
Option D (URL): A URL field is used to store and display a link but does not support text input
or embedding images.
In summary, the Rich Text Area field type should be used because it allows formatted text,
images, and links, which are required for the Planet Details field.
Reference:
Rich Text Area Field Documentation"
QUESTION NO: 258,"Universal Containers created a custom object called Component to capture details about
products sold.
What approach should an app builder take to show Component as a related list on Product?",A. Create a master-detail relationship on Product to Component. Add the Component related list to the Product page layout.,B. Create a junction object to relate Component and Product. Add the Component related list to the Product page layout.,C. Create a roll-up on Product. Add the Component related list to the Product page layout.,,,,D,"To show Component as a related list on Product, a lookup relationship on Component to
Product should be created. A lookup relationship creates a loose association between two
objects and allows users to relate records from one object to another. A lookup relationship
also allows users to add the related list of the child object to the parent object's page layout."
QUESTION NO: 259,Which opportunity standard field is available to be configured directly? Choose3,A. Forecast category,B. Stage,C. Lead source,,,,"B,C,D","The opportunity standard fields that are available to be configured directly are Stage, Lead
Source, and Type. These fields can be modified by editing their picklist values, adding or
removing values, or changing their default values. Option A is incorrect because Forecast
Category is not a standard field on the opportunity object, but rather a system field that is
automatically derived from the Stage field."
QUESTION NO: 260,What are the limitations of Schema Builder when creating a custom object?,"A. ""Save"" should be clicked each time a new object, field, or relationship is created.","B. Fields and relationships can be created, but they will be unable to add the fields to the page layout from the canvas.","C. Relationships can be made to any custom objects, but any relationships to standard objects should be built in Lightning Object Manager.",,,,B,"It lacks setting up field-level security and adding fields to the page layout, so you have to
choose the manual way of field creation. Adds another layer of risk with changes in Schema
Builder since it is deployed in real-time.
Salesforce Schema Builder is a powerful tool for visualizing and creating objects, fields, and
relationships in Salesforce, but it has certain limitations when building custom objects.
Option B (Fields and relationships can be created, but they will be unable to add the fields to
the page layout from the canvas): In Schema Builder, while you can create new custom
objects, fields, and relationships, you cannot directly add fields to the page layout from within
the Schema Builder interface. After creating a field, you need to navigate to the Page Layout
Editor to manually place the new field on the layout.
Reference:
Option A: This is incorrect because you can perform multiple actions within Schema Builder
without needing to click Save each time. Salesforce will save these changes when you click
Save once at the end.
Option C: While relationships can be created in Schema Builder for both standard and
custom objects, there is no requirement to use Lightning Object Manager to create
relationships with standard objects.
Option D: Schema Builder supports the creation of formula fields along with other types of
fields. There is no exclusion for formula fields.
In summary, Option B is the correct limitation of Schema Builder: you cannot add fields to
page layouts directly from the Schema Builder interface.
Reference:
Schema Builder Limitations"
QUESTION NO: 261,"The VP of Sales at Universal Containers has asked the app builder to let sales reps create
opportunity records directly from the account, with a number of fields pre-populated.
Which feature should the app builder use to allow users to create the opportunity?",A. A quick action,B. A default action,C. A custom button,,,,A,"The feature that the app builder should use to allow users to create the opportunity is a quick
action. A quick action is a type of custom button or link that can create or update records, log
calls, send emails, or launch flows from a record page or a global menu. The app builder can
create a quick action on the account object that creates an opportunity record with pre-
populated fields. Option B is incorrect because a default action is not a valid term, but rather
a standard action that appears on every record page by default, such as Edit or Delete.
Option C is incorrect because a custom button is not suitable for this requirement, as custom
buttons can only display a URL or execute JavaScript when clicked. Option D is incorrect
because a custom link is not suitable for this requirement, as custom links can only display a
URL or execute JavaScript when clicked."
QUESTION NO: 262,"An app builder installed a custom Lightning component from AppExchange and has deployed
My Domain.
What should be done next in order to configure the component for use in a record page?",A. Edit a record page using Lightning App Builder > Drag the component onto the page.,B. Edit a record page using the Page Layout editor > Drag the component onto the page.,C. Edit a record page using the Page Layout editor > Drag the Visualforce component onto the page.,,,,A,"To configure a custom Lightning component for use in a record page, the app builder needs
to edit a record page using the Lightning App Builder and drag the component onto the page.
The Page Layout editor and the App Manager are not used for this purpose"
QUESTION NO: 263,"Universal Containers wants to track installation information once it container has been
purchased on a custom object. Sales reps should have visibility of all the installation with
their opportunities.
visibility of all the installations associated with their opportunities.
What kind of relationship should this new object have to the Opportunity?",A. Lookup,B. Hierarchical,C. Master-Detail,,,,A,"The new object should have a lookup relationship to the Opportunity object. A lookup
relationship creates a link between two objects and allows related records to be viewed in a
related list. This can be used to track installation information for each opportunity and give
sales reps visibility of all the installations associated with their opportunities. Option B, C, and
D are not appropriate for this requirement."
QUESTION NO: 264,"Universal Containers wants to deliver purchased containers to remote construction address.
In these cases, the customers will supply UC with the coordinates to the location.
What type of field should the app builder use to capture this information?",A. Number,B. Geo location,C. Text,,,,B,"A geolocation field can be used to capture the coordinates of a location in latitude and
longitude. This field type can also be used in reports, formulas, validation rules, and Apex"
QUESTION NO: 265,"Universal Because of the small screen, they currently have to scroll down the page to view
the information for an account based on criteria about the related contact.
Which solution should an app builder use to fulfill this requirement?",A. Set the filter type on the component visibility to display based on user permissions. using custom permission to define the dynamic criteria.,B. Add a related record component to the page layout,"C. Set the component visibility to display based or an advanced filter type, using the contact field's) to define the dynamic criteria.",,,,C,"C: Setting the component visibility based on an advanced filter type, using the contact field(s)
to define dynamic criteria, allows displaying information relevant to specific account
conditions without needing user interaction.
References:
Salesforce Help - Dynamic Forms"
QUESTION NO: 266,"An app builder needs to change the data type of some custom fields.
Which two limitations should the app builder be aware of when changing the data type of a
custom field?
Choose 2 answers",A. It is not possible to change the data type of a formula field to any data type.,"B. It is not possible to change the data type of field referenced by Apex code,",C. It is not possible to change the data type of a field used as an External ID from number to text.,,,,"A,D","Changing the data type of custom fields in Salesforce has specific limitations that need to be
considered to ensure system integrity and prevent errors:
A . It is not possible to change the data type of a formula field to any data type. Formula fields
are calculated based on other field values and cannot be converted into a storage data type
because they do not store data themselves.
D . It is not possible to change the data type of a Text Area (Long) field to Text. Text Area
(Long) fields support up to 131,072 characters, which far exceeds the 255 character limit of
standard Text fields. Converting such a field to a smaller capacity field would potentially lead
to data truncation or loss.
For official guidance on data type changes, refer to Salesforce's Custom Field
Considerations."
QUESTION NO: 267,"The case handling process at Universal Containers includes multiple steps Including
approvals, notifications, and fields updates. To manage and evaluate all of these changes in
a single save operation, an app builder wants to use Process Builder and the Advanced
option to let the process evaluate a record multiple times has been selected.
Which two options should the app builder avoid to prevent recursion?
Choose 2 answers",A. IF statements,B. Setting a criteria node to No criteria-just execute the procedure,C. Invocable processes,,,,"D,C","The two options that the app builder should avoid to prevent recursion are setting a criteria
node to No criteria-just execute the procedure and invocable processes. Setting a criteria
node to No criteria-just execute the procedure means that the process will always execute
the actions regardless of the record values, which can cause recursion if the process updates
the same record that triggered it. Invocable processes are processes that can be invoked
from another process or a flow, which can cause recursion if the invocable process updates
the same record that triggered the parent process or flow. Option A is incorrect because IF
statements are not an option in Process Builder, but rather a function that can be used in
formulas or conditions. Option D is incorrect because the ISCHANGED function is not an
option in Process Builder, but rather a function that can be used in formulas or conditions to
check if a field value has changed."
QUESTION NO: 268,"Universal Containers wants some enhancements on its Opportunity page layout to improve
efficiency and collaboration.
Which two solutions should an app builder suggest to help meet these requirements?
Choose 2 answers",A. Mark stage dependent fields as required on the Opportunity page layout.,B. Use two Tabs components to separate record information from activities.,C. Add a Path component with fields and instructions aligning to stages on the Opportunity.,,,,"A,C","Marking stage dependent fields as required on the Opportunity page layout is a good solution
to improve efficiency and data quality, as it ensures that users enter the necessary
information for each stage of the sales process. Adding a Path component with fields and
instructions aligning to stages on the Opportunity is another good solution to improve
efficiency and collaboration, as it provides guidance and best practices for users to move the
Opportunity along the sales cycle. Using two Tabs components to separate record
information from activities may not be an optimal solution, as it may reduce the visibility and
accessibility of important data. Setting up an approval process requiring manager consent at
each stage of the Opportunity may not be a feasible solution, as it may introduce
unnecessary delays and complexity in the sales process"
QUESTION NO: 269,"Shipments at Cloud Kicks (CK) are created and updated by the warehouse staff in a shipping
application. The Information needs to be pushed into Salesforce on a regular basis. CK's app
builder creates a custom object called Delivery_c to track the information.
How can the app builder prevent creating duplicate delivery records and update the correct
existing records when migrating data from the shipping application?",A. Use the Import Wizard and match on the tracking number.,B. Create a unique External ID field and use Dataloader.,C. Use the Import Wizard and match on the Salesforce I,,,,B,"Creating a unique External ID field on the custom object and using Data Loader to upsert
records prevents duplicates and ensures correct record updates by matching the unique ID.
References:
Salesforce Help - External ID"
QUESTION NO: 270,"Cloud Kicks recently implemented the application lifecycle management process to its
release management strategy.
Which category handles bug fixes and simple changes?",A. Patch,B. Minor,C. Major,,,,A,"The category that handles bug fixes and simple changes is minor. A minor release is a type
of release that introduces small enhancements or fixes to existing functionality, such as
correcting spelling errors or improving performance. A minor release usually has a low impact
on users and does not require extensive testing or training. A patch release is a type of
release that addresses critical issues or defects that affect the functionality or security of an
application, such as fixing broken links or resolving vulnerabilities. A patch release usually
has a high impact on users and requires immediate deployment. A major release is a type of
release that introduces new functionality or features to an application, such as adding new
objects or components or changing business processes. A major release usually has a high
impact on users and requires extensive testing and training. A rollback is not a type of
release, but an action that reverses a release that has been deployed to an environment,
such as undoing changes or restoring previous versions. A rollback may be necessary if a
release causes errors or issues that affect the functionality or performance of an application."
QUESTION NO: 271,"Nickname__c is a custom text field on a contact record that is utilized to override the contact's
name appearing on an email template. This field is not required and is not always filled in.
Which formula should an app builder use to select the contact's preferred name for email
communications?","A. IF(NOT(ISBLANK(Nickname__c)), Nickname_c,FirstName)","B. IF(TEXT(Nfckname__c), Nickname_c,FirstName)","C. IF (ISNUUL(Nteknarne _..c),Nicknamec,Firstftame)",,,,D,"The formula that should be used to select the contact's preferred name for email
communications is IF(NOT(BLANKVALUE(Nickname__c)),Nickname__c, FirstName). This
formula checks if the Nickname__c field is blank or null, and if not, it returns the value of the
Nickname__c field. Otherwise, it returns the value of the FirstName field."
QUESTION NO: 272,"A recently refreshed partial sandbox at Cloud Kicks has no data In the custom object
Shipping. Checking In production, there are two million rows of data in the object.
What could be the reason the data Is missing?",A. The sandbox was refreshed too early.,B. The selected objects in the sandbox template.,C. The Partial sandbox is at capacity.,,,,B,"The selected objects in the sandbox template. This is correct because a partial sandbox only
copies a subset of data from production, and the data to be copied is determined by the
sandbox template. If the Shipping object was not selected in the template, then its data would
not be copied to the sandbox"
QUESTION NO: 273,"The Director of Marketing at Northern Trail Outfitters wants the app builder to create a
formula field that tracks how many days have elapsed since a contact was sent a marketing
communication. The director is only interested in whole units.
Which function should be used to return a date for calculating the difference?",A. DATFTIMEVALUE(),B. TODAY(),C. DATEVALUE(),,,,B,"TODAY() is the function that should be used to return a date for calculating the difference
between today and the date a marketing communication was sent. According to the
Salesforce documentation, ""TODAY() returns the current date as a Date value.""
DATETIMEVALUE() converts a text value into a Date/Time value. DATEVALUE() converts a
Date/Time value into a Date value. NOW() returns the current Date/Time value."
QUESTION NO: 274,"Northern Trail Outfitters wants the field sales team to only see the accounts that they own
Separate North American and European marketing teams should only see accounts m their
respective regions. The inside sales team needs to see all accounts in Salesforce.
How can this be accomplished?","A. Set the Organization-Wide Default to Public for accounts. Create criteria- based sharing rules for each marketing team, and create an Inside Sales Team permission set with the ""View Air setting for accounts,","B. Set the Organization-Wide Default to Public for accounts. Create profiles for each marketing team, and create an Inside Sales Team role that is at the top of the Role Hteran","C. Set the Organization-Wide Default to Private for accounts. Create criteria- based sharing rules for each marketing team, and create an Inside Sales Team profile with the ""View All"" setting for accounts.",,,,C,"Set the Organization-Wide Default to Private for accounts and create criteria-based sharing
rules for each marketing team are the actions that can accomplish the requirement of
restricting access to accounts based on region and role. Setting the Organization-Wide
Default to Private will limit access to accounts to only owners and administrators. Creating
criteria-based sharing rules will grant additional access to accounts based on region for each
marketing team. Creating an Inside Sales Team profile with the ""View All"" setting for
accounts will grant access to all accounts for the inside sales team. Update the Sales profile,
update the organization-wide defaults to Public for accounts, create profiles for each
marketing team, create permission sets for each marketing team, and create an Inside Sales
Team role are not necessary or sufficient actions for this requirement."
QUESTION NO: 275,"Universal Containers has created two custom objects called Seminars and Attendees.
Organization-wide defaults for these objects have been set to Private. Universal Containers
wants to set up a new Junction object between these custom objects. A select group of users
should be able to edit records in the Junction object.
Which two steps should an app builder take to configure the proper security?",A. Set Sharing Settings to Road Only on both Master-Detail relationship fields.,B. Create owner-based sharing rules that give Read access to the master objects.,C. Sat lookup filters on both Junction object relationship field.,,,,"A,D","A: Setting Sharing Settings to Read Only on both Master-Detail relationship fields ensures
that users can view but not edit the master records from the junction object.
D: Creating an owner-based sharing rule that gives Read access to the junction object allows
specific users or groups to access and edit records in the Junction object while maintaining
the private OWD setting.
References:
Salesforce Help - Sharing Settings"
QUESTION NO: 276,"An app builder needs a custom solution and is considering using community. Ease of
updates is the primary consideration.
What should the app builder consider?",A. A managed package from AppExchange,B. An unmanaged package from AppExchange,C. An open-source unmanaged package,,,,A,"A managed package from AppExchange is a custom solution that is developed by a third-
party provider and can be installed in Salesforce. A managed package can be easily updated
by the provider without affecting the existing functionality or customizations. This makes it
suitable for the app builder's requirement of ease of updates. Option B, C, and D are not as
easy to update as a managed package."
QUESTION NO: 277,"At Universal Containers, the Account object has a Master-Detail relationship with an Invoice
custom object. The App Builder would like to change to a lookup field, but is not able to do
so. What could be causing this?",A. The invoice must have at least one Master-Detail field for reporting.,B. The Account record includes Invoice roll-up summary fields.,C. The Invoice records have existing values in the Account.,,,,B,"The Account record includes Invoice roll-up summary fields. This is correct because roll-up
summary fields are only available on the master object in a master-detail relationship, and
changing the field type to lookup would delete the roll-up summary fields"
QUESTION NO: 278,"Cloud Kicks (CK) wants to begin socializing and collaborating within Salesforce around
customer accounts to discuss various topics. CK would like all company employees to see
these conversations.
Which two features of Chatter would meet CK's business needs?
Choose 2 answers",A. Set up new private Chatter groups.,B. Set up new public Chatter groups.,C. Use post action on the Account object.,,,,"B,C","The two features of Chatter that would meet CK's business needs are: Set up new public
Chatter groups. A public Chatter group is a way to create a collaborative space for users to
share information, files, polls, and ideas around a common topic or interest. A public Chatter
group can be joined by any user in the organization and can be seen by anyone who has
access to Chatter. By setting up new public Chatter groups, CK can enable users to socialize
and collaborate around customer accounts and discuss various topics. Use post action on
the Account object. A post action is a type of quick action that allows users to create a post
on a record's feed or on their own feed. A post can include text, mentions, hashtags, topics,
links, files, or images. By using post action on the Account object, CK can enable users to
share updates, feedback, or questions about customer accounts and engage with other users
who follow the accounts. Set up new private Chatter groups is not a valid feature, as it does
not meet CK's business needs. A private Chatter group is a way to create a collaborative
space for users to share information, files, polls, and ideas around a confidential or sensitive
topic or interest. A private Chatter group can only be joined by invitation and can only be
seen by the group members. By setting up new private Chatter groups, CK would limit the
visibility and accessibility of the conversations around customer accounts. Use Chatter
actions to create tasks to complete is not a valid feature, as it does not meet CK's business
needs. A Chatter action is a type of quick action that allows users to create a task from a
record's feed or from their own feed. A task can include subject, due date, priority, status,
assigned to, etc. By using Chatter actions to create tasks to complete, CK would enable
users to track and manage their work related to customer accounts, but not to socialize and
collaborate with other users."
QUESTION NO: 279,"universal containers is migrating its sales operations from a legacy system that was used.
opportunities need to be imported with the proper country currency. Which two steps should
an app builder configure to meet these requirements?
Choose 2 answers.",A. Include the currency ISO code in all currency fields in the import file.,B. Use Data Loader to import the records.,C. Include the currency ISO Code Column in the import file.,D. Use import the currency ISO Code Column in the import file.,,,"A,B","To import opportunities with the proper country currency, the app builder needs to include the
currency ISO code in all currency fields in the import file, and use Data Loader to import the
records. Data Loader supports importing multiple currencies, while Import Wizard does not.
The currency ISO code column in the import file specifies the currency for each record"
QUESTION NO: 280,"The sales Operations team at AWS Computing deletes accounts for a variety of a reasons.
The sales ops director is worried that the Sales team may delete accounts that sales reps are
actively selling into.
Now should the app builder keep accounts with open opportunities from being deleted?",A. Create an Apex Trigger on the Account object,B. Create a validation rule on the Account object.,C. Remove the delete button on the account layout,,,,B,"Create a validation rule on the Account object is how the app builder can keep accounts with
open opportunities from being deleted. According to the Salesforce documentation,
""Validation rules verify that data entered by users in records meet the standards you specify
before they can save it."" A validation rule can check if an account has any open opportunities
and display an error message if someone tries to delete it. Create an Apex trigger on the
Account object, remove the delete button on the account layout, and remove the Delete
permission from the Sales Rep profile are not valid or sufficient solutions for this requirement."
QUESTION NO: 281,"Universal Containers is setting up salesforce for the first time. Management wants the sales
and marketing teams to have different navigation names in the salesforce1 mobile app.
Which option is available to an app builder to satisfy the requirement?",A. Create sales and marketing profiles to ensure read access to different objects,B. Create roles for sales and marketing and assign a custom homepage layout for each role.,C. Create mobile navigation menus for both the sales and marketing profiles.,,,,C,"Create mobile navigation menus for both the sales and marketing profiles. This is correct
because mobile navigation menus allow users to customize the items that appear in the
navigation bar of the Salesforce mobile app, and they can be assigned to different profiles."
QUESTION NO: 282,"An app builder wants to limit the number of fields users are required to fill out when creating a
new Opportunity. Once they fill out the required fields and save, the full record page with
additional fields relevant to the Opportunity type becomes available.
How could this be accomplished?",A. Make the Opportunity type a required field on the initial Opportunity page layout and use automation to fill in the type field to a record type.,B. Use different page layouts for Opportunity types based on the user profile.,"C. Once the required fields are populated, use a sharing rule to share the new fields with the user.",,,,A,"Making the Opportunity type a required field on the initial Opportunity page layout and using
automation to fill in the type field to a record type is a way to limit the number of fields users
are required to fill out when creating a new Opportunity. This way, the app builder can assign
different page layouts for different record types based on the Opportunity type. The other
options are not feasible or effective"
QUESTION NO: 283,"Universal Containers uses a custom picklist field Account Region on the account record.
They want this region to be reflected on all related contact records and stay in sync if the
value of this field changes on the Account.
How should an app builder meet this requirement?",A. Create a picklist field called 'Account Region' on Contact object > Create a workflow rule to update this picklist field if the Account Region field on the Account is changed.,B. Create a formula field on the Contact object > Set the value of the formula to ISPICKVAL(Account.Account_Region__c).,C. Create a formula field on the Contact object > Set the value of the formula to TEXT(Account.Account_Region__c).,,,,C,"Creating a formula field on the Contact object and setting the value of the formula to
TEXT(Account.Account_Region__c) would reflect the region of the related account on the
contact record and stay in sync if the value changes on the account. This is the most efficient
and maintainable way to meet the requirement. Creating a workflow rule or a picklist field
would require additional configuration and complexity"
QUESTION NO: 284,"Ursa Major Solar's sales team has been struggling to enter data on mobile since rollout; the
team dislikes scrolling through all of the fields to input only the necessary data.
How could the app builder solve this with minimal impact to desktop users?",A. Filter components by device using Form Factor.,B. Reorder the fields to make sense for the reps when in the field.,C. Update the training documentation with better screenshots.,,,,A,"The best way to solve this problem is to filter components by device using Form Factor. Form
Factor is an attribute that can be applied to components on a Lightning record page to control
their visibility based on the device type, such as desktop, phone, or tablet. By using Form
Factor, the app builder can hide some components that are not relevant for mobile users,
such as charts or reports, and show only the components that are necessary for data entry,
such as fields or actions. This way, the mobile users do not have to scroll through all the
components and can enter data more easily. Reordering the fields may not solve the problem
completely, as there may still be too many components on the page for mobile users.
Updating the training documentation may not help either, as it does not address the root
cause of the problem, which is the layout of the page. Deselecting the phone radio button on
the Lightning record page assignment may not be desirable, as it will prevent mobile users
from accessing the record page at all, which may affect their productivity and functionality."
